[ 2025-12-19 08:57:27 | node_23 | ERROR ] Models ready from node in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:27 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:57:27 | node_23 | ERROR ] Models ready from node_4 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:27 | node_12 | ERROR ] Models ready from node_19 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:27 | node_17 | ERROR ] Models ready from node_19 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:28 | node_29 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_27', 'node_26'}
[ 2025-12-19 08:57:28 | node_26 | ERROR ] Models ready from node_29 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:28 | node_27 | ERROR ] Models ready from node_29 in a late round. Ignored. 94 != 96 / 95
[ 2025-12-19 08:57:28 | node_29 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:57:29 | node_13 | ERROR ] Models ready from node_18 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:29 | node_28 | ERROR ] Models ready from node_18 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:29 | node_13 | ERROR ] Models ready from node_19 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:29 | node_28 | ERROR ] Models ready from node_19 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:29 | node_1 | ERROR ] Models ready from node_29 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:29 | node_3 | ERROR ] Models ready from node_29 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:29 | node_23 | ERROR ] Models ready from node_29 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:30 | node_9 | ERROR ] Models ready from node_18 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:30 | node_16 | ERROR ] Models ready from node_18 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:30 | node_26 | ERROR ] Models ready from node_18 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:30 | node_9 | ERROR ] Models ready from node_19 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:30 | node_16 | ERROR ] Models ready from node_19 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:30 | node_26 | ERROR ] Models ready from node_19 in a late round. Ignored. 94 != 93 / 92
[ 2025-12-19 08:57:33 | node_13 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_22'}
[ 2025-12-19 08:57:33 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:57:48 | node_16 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_2'}
[ 2025-12-19 08:57:48 | node_16 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:57:49 | node_26 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_29'}
[ 2025-12-19 08:57:49 | node_26 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:57:50 | node_28 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_2'}
[ 2025-12-19 08:57:50 | node_28 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 08:57:50 | node_25 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-19 08:57:50 | node_25 | INFO ] 🎉 Round 95 of 100 finished.
[ 2025-12-19 08:57:50 | node_25 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 08:57:50 | node_12 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:57:51 | node_25 | ERROR ] Models ready from node_28 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:57:51 | node_13 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:57:51 | node_28 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:57:52 | node_3 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:57:52 | node_17 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:57:52 | node_9 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:57:52 | node_16 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:57:52 | node_26 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:57:52 | node_25 | ERROR ] Models ready from node_26 in a late round. Ignored. 93 != 95 / 94
[ 2025-12-19 08:57:52 | node_21 | ERROR ] Vote received in a late round. Ignored. 95 != 93 / 94
[ 2025-12-19 08:57:56 | node_14 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_10', 'node_4'}
[ 2025-12-19 08:57:56 | node_9 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_7', 'node_10'}
