[ 2025-12-18 12:44:38 | node_13 | INFO ] Timeout for vote aggregation. Missing votes from {'node_4', 'node_27', 'node_2', 'node_12', 'node_16', 'node_22', 'node_10', 'node_20', 'node_11', 'node', 'node_6', 'node_26', 'node_19'}
[ 2025-12-18 12:44:38 | node_13 | INFO ] 🔢 Computed 16 votes.
[ 2025-12-18 12:44:38 | node_13 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_6', 'node_28', 'node', 'node_14', 'node_22', 'node_12', 'node_18', 'node_8', 'node_21', 'node_16', 'node_4', 'node_29', 'node_7', 'node_9', 'node_3', 'node_17', 'node_20', 'node_25', 'node_27', 'node_1', 'node_11', 'node_10', 'node_26', 'node_23', 'node_5', 'node_13', 'node_19', 'node_15']
[ 2025-12-18 12:44:38 | node_13 | INFO ] 🧩 Model added (1/6) from ['node_9']
[ 2025-12-18 12:44:38 | node_13 | INFO ] 🔬 Evaluating...
[ 2025-12-18 12:44:38 | node_23 | INFO ] Timeout for vote aggregation. Missing votes from {'node_4', 'node_2', 'node_12', 'node_16', 'node_22', 'node_10', 'node_11', 'node', 'node_6', 'node_26', 'node_19'}
[ 2025-12-18 12:44:38 | node_23 | INFO ] 🔢 Computed 18 votes.
[ 2025-12-18 12:44:38 | node_23 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_9', 'node_6', 'node', 'node_18', 'node_28', 'node_14', 'node_22', 'node_12', 'node_8', 'node_16', 'node_21', 'node_4', 'node_29', 'node_27', 'node_20', 'node_7', 'node_3', 'node_17', 'node_1', 'node_10', 'node_25', 'node_11', 'node_23', 'node_26', 'node_5', 'node_13', 'node_19', 'node_15']
[ 2025-12-18 12:44:38 | node_23 | INFO ] 🧩 Model added (1/6) from ['node_8']
[ 2025-12-18 12:44:38 | node_23 | INFO ] 🔬 Evaluating...
[ 2025-12-18 12:44:38 | node_25 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.2638187408447266, 'test_acc\n': 0.954954981803894, 'test_precision\n': 0.9528929591178894, 'test_recall\n': 0.9564146399497986, 'test_f1\n': 0.9514731168746948}
[ 2025-12-18 12:44:38 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:38 | node_25 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:38 | node_13 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.5383062362670898, 'test_acc\n': 0.9399399161338806, 'test_precision\n': 0.9490624070167542, 'test_recall\n': 0.9360528588294983, 'test_f1\n': 0.9348034262657166}
[ 2025-12-18 12:44:38 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:38 | node_13 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:38 | node_15 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_6', 'node_10', 'node_14', 'node_16']
[ 2025-12-18 12:44:38 | node_25 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:38 | node_25 | INFO ] 🧩 Model added (1/5) from ['node_25']
[ 2025-12-18 12:44:39 | node_23 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.8058413863182068, 'test_acc\n': 0.9429429173469543, 'test_precision\n': 0.9418505430221558, 'test_recall\n': 0.9418016076087952, 'test_f1\n': 0.9378484487533569}
[ 2025-12-18 12:44:39 | node_23 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:39 | node_23 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:39 | node_13 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:39 | node_13 | INFO ] 🧩 Model added (2/6) from ['node_13']
[ 2025-12-18 12:44:39 | node_23 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:39 | node_23 | INFO ] 🧩 Model added (2/6) from ['node_23']
[ 2025-12-18 12:44:39 | node_1 | INFO ] Timeout for vote aggregation. Missing votes from {'node_4', 'node_25', 'node_2', 'node_12', 'node_16', 'node_22', 'node_10', 'node_11', 'node', 'node_6', 'node_26', 'node_19'}
[ 2025-12-18 12:44:39 | node_1 | INFO ] 🔢 Computed 17 votes.
[ 2025-12-18 12:44:39 | node_1 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_6', 'node', 'node_18', 'node_9', 'node_14', 'node_22', 'node_28', 'node_12', 'node_8', 'node_21', 'node_4', 'node_16', 'node_29', 'node_20', 'node_7', 'node_27', 'node_3', 'node_17', 'node_1', 'node_10', 'node_11', 'node_23', 'node_26', 'node_25', 'node_5', 'node_13', 'node_19', 'node_15']
[ 2025-12-18 12:44:39 | node_1 | INFO ] 🧩 Model added (1/6) from ['node_8']
[ 2025-12-18 12:44:39 | node_1 | INFO ] 🧩 Model added (2/6) from ['node_7']
[ 2025-12-18 12:44:39 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-18 12:44:40 | node_14 | INFO ] Timeout for vote aggregation. Missing votes from {'node_28', 'node_4', 'node_2', 'node_12', 'node_16', 'node_22', 'node_21', 'node_10', 'node_11', 'node', 'node_6', 'node_26', 'node_19'}
[ 2025-12-18 12:44:40 | node_14 | INFO ] 🔢 Computed 16 votes.
[ 2025-12-18 12:44:40 | node_14 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_6', 'node', 'node_18', 'node_9', 'node_14', 'node_12', 'node_28', 'node_16', 'node_8', 'node_21', 'node_4', 'node_27', 'node_7', 'node_3', 'node_17', 'node_29', 'node_25', 'node_11', 'node_20', 'node_22', 'node_23', 'node_10', 'node_5', 'node_26', 'node_1', 'node_19', 'node_13', 'node_15']
[ 2025-12-18 12:44:40 | node_14 | INFO ] 🧩 Model added (1/7) from ['node_8']
[ 2025-12-18 12:44:40 | node_14 | INFO ] 🧩 Model added (2/7) from ['node_15']
[ 2025-12-18 12:44:40 | node_14 | INFO ] 🔬 Evaluating...
[ 2025-12-18 12:44:40 | node_18 | INFO ] Timeout for vote aggregation. Missing votes from {'node_4', 'node_2', 'node_12', 'node_16', 'node_22', 'node_10', 'node_11', 'node', 'node_6', 'node_26', 'node_19'}
[ 2025-12-18 12:44:40 | node_18 | INFO ] 🔢 Computed 18 votes.
[ 2025-12-18 12:44:40 | node_18 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_9', 'node_6', 'node', 'node_18', 'node_28', 'node_14', 'node_22', 'node_12', 'node_8', 'node_16', 'node_21', 'node_4', 'node_29', 'node_27', 'node_20', 'node_7', 'node_3', 'node_17', 'node_1', 'node_10', 'node_25', 'node_11', 'node_23', 'node_26', 'node_5', 'node_13', 'node_19', 'node_15']
[ 2025-12-18 12:44:40 | node_18 | INFO ] 🔬 Evaluating...
[ 2025-12-18 12:44:40 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6954078078269958, 'test_acc\n': 0.9640718698501587, 'test_precision\n': 0.9629262685775757, 'test_recall\n': 0.960924506187439, 'test_f1\n': 0.9597656726837158}
[ 2025-12-18 12:44:40 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:40 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:40 | node_14 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.9192526936531067, 'test_acc\n': 0.9729729890823364, 'test_precision\n': 0.9739178419113159, 'test_recall\n': 0.9731234312057495, 'test_f1\n': 0.9726229906082153}
[ 2025-12-18 12:44:40 | node_14 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:40 | node_18 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7274541854858398, 'test_acc\n': 0.9639639854431152, 'test_precision\n': 0.9684821963310242, 'test_recall\n': 0.9625086784362793, 'test_f1\n': 0.9634840488433838}
[ 2025-12-18 12:44:40 | node_18 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:41 | node_14 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:41 | node_1 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:41 | node_1 | INFO ] 🧩 Model added (3/6) from ['node_1']
[ 2025-12-18 12:44:41 | node_18 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:41 | node_5 | INFO ] Timeout for vote aggregation. Missing votes from {'node_4', 'node_25', 'node_2', 'node_12', 'node_16', 'node_22', 'node_10', 'node_11', 'node', 'node_6', 'node_26', 'node_19'}
[ 2025-12-18 12:44:41 | node_5 | INFO ] 🔢 Computed 17 votes.
[ 2025-12-18 12:44:41 | node_5 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_6', 'node', 'node_18', 'node_9', 'node_14', 'node_22', 'node_28', 'node_12', 'node_8', 'node_21', 'node_4', 'node_16', 'node_29', 'node_20', 'node_7', 'node_27', 'node_3', 'node_17', 'node_1', 'node_10', 'node_11', 'node_23', 'node_26', 'node_25', 'node_5', 'node_13', 'node_19', 'node_15']
[ 2025-12-18 12:44:41 | node_5 | INFO ] 🧩 Model added (1/7) from ['node_7']
[ 2025-12-18 12:44:41 | node_5 | INFO ] 🔬 Evaluating...
[ 2025-12-18 12:44:41 | node_3 | INFO ] Timeout for vote aggregation. Missing votes from {'node_4', 'node_2', 'node_12', 'node_16', 'node_22', 'node_10', 'node_11', 'node', 'node_6', 'node_26', 'node_19'}
[ 2025-12-18 12:44:41 | node_3 | INFO ] 🔢 Computed 18 votes.
[ 2025-12-18 12:44:41 | node_3 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_9', 'node_6', 'node', 'node_18', 'node_28', 'node_14', 'node_22', 'node_12', 'node_8', 'node_16', 'node_21', 'node_4', 'node_29', 'node_27', 'node_20', 'node_7', 'node_3', 'node_17', 'node_1', 'node_10', 'node_25', 'node_11', 'node_23', 'node_26', 'node_5', 'node_13', 'node_19', 'node_15']
[ 2025-12-18 12:44:41 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-18 12:44:41 | node_17 | INFO ] Timeout for vote aggregation. Missing votes from {'node_4', 'node_2', 'node_12', 'node_16', 'node_22', 'node_10', 'node_11', 'node', 'node_6', 'node_26', 'node_19'}
[ 2025-12-18 12:44:41 | node_17 | INFO ] 🔢 Computed 18 votes.
[ 2025-12-18 12:44:41 | node_17 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_9', 'node_6', 'node', 'node_18', 'node_28', 'node_14', 'node_22', 'node_12', 'node_8', 'node_16', 'node_21', 'node_4', 'node_29', 'node_27', 'node_20', 'node_7', 'node_3', 'node_17', 'node_1', 'node_10', 'node_25', 'node_11', 'node_23', 'node_26', 'node_5', 'node_13', 'node_19', 'node_15']
[ 2025-12-18 12:44:41 | node_17 | INFO ] 🧩 Model added (1/8) from ['node_9']
[ 2025-12-18 12:44:41 | node_17 | INFO ] 🧩 Model added (2/8) from ['node_28']
[ 2025-12-18 12:44:41 | node_17 | INFO ] 🔬 Evaluating...
[ 2025-12-18 12:44:41 | node_14 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:41 | node_14 | INFO ] 🧩 Model added (3/7) from ['node_14']
[ 2025-12-18 12:44:41 | node_18 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:41 | node_18 | INFO ] 🧩 Model added (1/6) from ['node_18']
[ 2025-12-18 12:44:41 | node_5 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.4549686908721924, 'test_acc\n': 0.946107804775238, 'test_precision\n': 0.943922221660614, 'test_recall\n': 0.9480717182159424, 'test_f1\n': 0.943588376045227}
[ 2025-12-18 12:44:41 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:41 | node_5 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:41 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.8610064387321472, 'test_acc\n': 0.9640718698501587, 'test_precision\n': 0.9663598537445068, 'test_recall\n': 0.9640214443206787, 'test_f1\n': 0.9636300206184387}
[ 2025-12-18 12:44:41 | node_17 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.5028276443481445, 'test_acc\n': 0.9519519805908203, 'test_precision\n': 0.9508867859840393, 'test_recall\n': 0.9492129683494568, 'test_f1\n': 0.9465569257736206}
[ 2025-12-18 12:44:41 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:41 | node_17 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:42 | node_17 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:42 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:42 | node_5 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:42 | node_5 | INFO ] 🧩 Model added (2/7) from ['node_5']
[ 2025-12-18 12:44:42 | node_17 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:42 | node_17 | INFO ] 🧩 Model added (3/8) from ['node_17']
[ 2025-12-18 12:44:42 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:42 | node_3 | INFO ] 🧩 Model added (1/9) from ['node_3']
[ 2025-12-18 12:44:42 | node_21 | INFO ] Timeout for vote aggregation. Missing votes from {'node_4', 'node_2', 'node_12', 'node_16', 'node_22', 'node_10', 'node_11', 'node', 'node_6', 'node_26', 'node_19'}
[ 2025-12-18 12:44:42 | node_21 | INFO ] 🔢 Computed 18 votes.
[ 2025-12-18 12:44:42 | node_21 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_9', 'node_6', 'node', 'node_18', 'node_28', 'node_14', 'node_22', 'node_12', 'node_8', 'node_16', 'node_21', 'node_4', 'node_29', 'node_27', 'node_20', 'node_7', 'node_3', 'node_17', 'node_1', 'node_10', 'node_25', 'node_11', 'node_23', 'node_26', 'node_5', 'node_13', 'node_19', 'node_15']
[ 2025-12-18 12:44:42 | node_21 | INFO ] 🧩 Model added (1/6) from ['node_20']
[ 2025-12-18 12:44:42 | node_21 | INFO ] 🔬 Evaluating...
[ 2025-12-18 12:44:42 | node_21 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.3527939319610596, 'test_acc\n': 0.9459459185600281, 'test_precision\n': 0.9511335492134094, 'test_recall\n': 0.9433358907699585, 'test_f1\n': 0.9420998096466064}
[ 2025-12-18 12:44:42 | node_21 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 12:44:43 | node_21 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 12:44:43 | node_21 | INFO ] 🎓 Training done.
[ 2025-12-18 12:44:43 | node_21 | INFO ] 🧩 Model added (2/6) from ['node_21']
[ 2025-12-18 12:44:43 | node_25 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_11', 'node_12', 'node_23', 'node_26']
[ 2025-12-18 12:44:44 | node_23 | INFO ] 🧩 Model added (3/6) from ['node_25']
[ 2025-12-18 12:44:44 | node_13 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_4', 'node_9', 'node_12', 'node_14', 'node_22']
[ 2025-12-18 12:44:44 | node_9 | INFO ] 🧩 Model added (5/7) from ['node_13']
[ 2025-12-18 12:44:44 | node_14 | INFO ] 🧩 Model added (4/7) from ['node_13']
[ 2025-12-18 12:44:44 | node_23 | INFO ] 📤 Sending model to 5 direct neighbors: ['node', 'node_2', 'node_8', 'node_22', 'node_25']
[ 2025-12-18 12:44:44 | node_8 | INFO ] 🧩 Model added (5/9) from ['node_23']
[ 2025-12-18 12:44:44 | node_25 | INFO ] 🧩 Model added (2/5) from ['node_23']
