[ 2025-12-19 01:18:37 | node_26 | INFO ] 🚂 Train set of 29 nodes: ['node_25', 'node_2', 'node_28', 'node_29', 'node_19', 'node_16', 'node_23', 'node', 'node_26', 'node_17', 'node_12', 'node_27', 'node_7', 'node_6', 'node_14', 'node_4', 'node_20', 'node_15', 'node_24', 'node_21', 'node_5', 'node_8', 'node_10', 'node_3', 'node_1', 'node_22', 'node_11', 'node_13', 'node_18']
[ 2025-12-19 01:18:37 | node_26 | INFO ] 🧩 Model added (1/7) from ['node_27']
[ 2025-12-19 01:18:37 | node_26 | INFO ] 🔬 Evaluating...
[ 2025-12-19 01:18:37 | node_15 | INFO ] 🎓 Training done.
[ 2025-12-19 01:18:37 | node_15 | INFO ] 🧩 Model added (2/6) from ['node_15']
[ 2025-12-19 01:18:38 | node_26 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.3025848865509033, 'test_acc\n': 0.10210210084915161, 'test_precision\n': 0.010210210457444191, 'test_recall\n': 0.09999999403953552, 'test_f1\n': 0.018405050039291382}
[ 2025-12-19 01:18:38 | node_26 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 01:18:38 | node_26 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 01:18:38 | node_26 | INFO ] 🎓 Training done.
[ 2025-12-19 01:18:38 | node_26 | INFO ] 🧩 Model added (2/7) from ['node_26']
[ 2025-12-19 01:18:39 | node_21 | INFO ] Timeout for vote aggregation. Missing votes from {'node_11', 'node_2', 'node_23', 'node_25', 'node_26', 'node_4', 'node_14', 'node_17', 'node_19', 'node_1', 'node', 'node_3', 'node_6'}
[ 2025-12-19 01:18:39 | node_21 | INFO ] 🔢 Computed 16 votes.
[ 2025-12-19 01:18:39 | node_21 | INFO ] 🚂 Train set of 29 nodes: ['node_25', 'node_2', 'node_28', 'node_29', 'node_16', 'node_23', 'node_19', 'node_20', 'node_7', 'node_17', 'node_12', 'node_26', 'node', 'node_27', 'node_4', 'node_21', 'node_14', 'node_5', 'node_24', 'node_3', 'node_8', 'node_6', 'node_10', 'node_15', 'node_13', 'node_1', 'node_22', 'node_11', 'node_18']
[ 2025-12-19 01:18:39 | node_21 | INFO ] 🧩 Model added (1/6) from ['node_22']
[ 2025-12-19 01:18:39 | node_21 | INFO ] 🔬 Evaluating...
[ 2025-12-19 01:18:39 | node_18 | INFO ] Timeout for vote aggregation. Missing votes from {'node_11', 'node_8', 'node_2', 'node_7', 'node_23', 'node_25', 'node_4', 'node_17', 'node_19', 'node_1', 'node', 'node_3', 'node_6'}
[ 2025-12-19 01:18:39 | node_18 | INFO ] 🔢 Computed 16 votes.
[ 2025-12-19 01:18:39 | node_18 | INFO ] 🚂 Train set of 29 nodes: ['node_2', 'node_28', 'node_29', 'node_19', 'node_16', 'node_25', 'node_23', 'node', 'node_26', 'node_20', 'node_7', 'node_27', 'node_4', 'node_12', 'node_21', 'node_6', 'node_15', 'node_14', 'node_5', 'node_10', 'node_24', 'node_17', 'node_8', 'node_22', 'node_3', 'node_11', 'node_18', 'node_1', 'node_13']
[ 2025-12-19 01:18:39 | node_18 | INFO ] 🧩 Model added (1/6) from ['node_12']
[ 2025-12-19 01:18:39 | node_18 | INFO ] 🔬 Evaluating...
[ 2025-12-19 01:18:39 | node_24 | INFO ] Timeout for vote aggregation. Missing votes from {'node_11', 'node_2', 'node_27', 'node_20', 'node_23', 'node_25', 'node_4', 'node_17', 'node_19', 'node_1', 'node', 'node_3', 'node_6'}
[ 2025-12-19 01:18:39 | node_24 | INFO ] 🔢 Computed 16 votes.
[ 2025-12-19 01:18:39 | node_24 | INFO ] 🚂 Train set of 29 nodes: ['node_25', 'node_2', 'node_28', 'node_29', 'node_16', 'node_19', 'node_7', 'node_23', 'node_20', 'node_17', 'node_12', 'node_27', 'node_4', 'node', 'node_26', 'node_21', 'node_15', 'node_6', 'node_24', 'node_3', 'node_10', 'node_5', 'node_13', 'node_8', 'node_22', 'node_1', 'node_14', 'node_18', 'node_11']
[ 2025-12-19 01:18:39 | node_24 | INFO ] 🧩 Model added (1/6) from ['node_12']
[ 2025-12-19 01:18:39 | node_24 | INFO ] 🔬 Evaluating...
[ 2025-12-19 01:18:39 | node_21 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.3025848865509033, 'test_acc\n': 0.14414414763450623, 'test_precision\n': 0.014414413832128048, 'test_recall\n': 0.09999999403953552, 'test_f1\n': 0.024828484281897545}
[ 2025-12-19 01:18:39 | node_21 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 01:18:39 | node_21 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 01:18:40 | node_18 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.3025848865509033, 'test_acc\n': 0.07507507503032684, 'test_precision\n': 0.007507507689297199, 'test_recall\n': 0.09999999403953552, 'test_f1\n': 0.0139539809897542}
[ 2025-12-19 01:18:40 | node_18 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 01:18:40 | node_21 | INFO ] 🎓 Training done.
[ 2025-12-19 01:18:40 | node_21 | INFO ] 🧩 Model added (2/6) from ['node_21']
[ 2025-12-19 01:18:40 | node_18 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 01:18:40 | node_24 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.3025848865509033, 'test_acc\n': 0.07507507503032684, 'test_precision\n': 0.007507507689297199, 'test_recall\n': 0.09999999403953552, 'test_f1\n': 0.013852759264409542}
[ 2025-12-19 01:18:40 | node_24 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 01:18:40 | node_24 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 01:18:40 | node_18 | INFO ] 🎓 Training done.
[ 2025-12-19 01:18:40 | node_18 | INFO ] 🧩 Model added (2/6) from ['node_18']
[ 2025-12-19 01:18:40 | node_24 | INFO ] 🎓 Training done.
[ 2025-12-19 01:18:40 | node_24 | INFO ] 🧩 Model added (2/6) from ['node_24']
[ 2025-12-19 01:18:42 | node_15 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_6', 'node_10', 'node_14', 'node_16', 'node_24']
[ 2025-12-19 01:18:42 | node_10 | INFO ] 🧩 Model added (4/6) from ['node_15']
[ 2025-12-19 01:18:42 | node_14 | INFO ] 🧩 Model added (5/7) from ['node_15']
[ 2025-12-19 01:18:42 | node_16 | INFO ] 🧩 Model added (3/6) from ['node_15']
[ 2025-12-19 01:18:42 | node_24 | INFO ] 🧩 Model added (3/6) from ['node_15']
[ 2025-12-19 01:18:43 | node_26 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_3', 'node_14', 'node_17', 'node_25', 'node_27', 'node_29']
[ 2025-12-19 01:18:43 | node_14 | INFO ] 🧩 Model added (6/7) from ['node_26']
[ 2025-12-19 01:18:43 | node_27 | INFO ] 🧩 Model added (5/6) from ['node_26']
[ 2025-12-19 01:18:43 | node_29 | INFO ] 🧩 Model added (4/5) from ['node_26']
[ 2025-12-19 01:18:45 | node_21 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_2', 'node_11', 'node_19', 'node_20', 'node_22']
[ 2025-12-19 01:18:45 | node_20 | INFO ] 🧩 Model added (4/6) from ['node_21']
[ 2025-12-19 01:18:45 | node_22 | INFO ] 🧩 Model added (2/6) from ['node_21']
[ 2025-12-19 01:18:45 | node_18 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_3', 'node_10', 'node_12', 'node_17', 'node_19']
[ 2025-12-19 01:18:45 | node_24 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_1', 'node_12', 'node_15', 'node_23', 'node_25']
[ 2025-12-19 01:18:45 | node_10 | INFO ] 🧩 Model added (5/6) from ['node_18']
[ 2025-12-19 01:18:45 | node_12 | INFO ] 🧩 Model added (4/8) from ['node_24']
[ 2025-12-19 01:18:45 | node_12 | INFO ] 🧩 Model added (5/8) from ['node_18']
[ 2025-12-19 01:18:45 | node_15 | INFO ] 🧩 Model added (3/6) from ['node_24']
[ 2025-12-19 01:21:57 | node_6 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_7', 'node_15', 'node_5'}
[ 2025-12-19 01:21:57 | node_5 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:57 | node_7 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:57 | node_15 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:57 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:21:57 | node_20 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:57 | node_29 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_18 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_21 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_8 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_24 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_12 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_16 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_10 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_14 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:58 | node_27 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:59 | node_13 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:21:59 | node_26 | ERROR ] Models ready from node_6 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_4 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_13', 'node_14', 'node_5'}
[ 2025-12-19 01:22:00 | node_5 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_13 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_14 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 01:22:00 | node_7 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_8 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_24 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_20 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_12 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_16 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:00 | node_29 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_10 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_15 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_26 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_21 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_28 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:01 | node_18 | ERROR ] Models ready from node_4 in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_20', 'node_29'}
[ 2025-12-19 01:22:04 | node_20 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
[ 2025-12-19 01:22:04 | node_29 | ERROR ] Models ready from node in a late round. Ignored. 99 != 98 / 97
