[ 2025-12-19 11:30:55 | node_28 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.2193465530872345, 'test_acc\n': 0.9667590260505676, 'test_precision\n': 0.5894120931625366, 'test_recall\n': 0.5966827869415283, 'test_f1\n': 0.5922112464904785}
[ 2025-12-19 11:30:55 | node_23 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.44113364815711975, 'test_acc\n': 0.949999988079071, 'test_precision\n': 0.6071599721908569, 'test_recall\n': 0.5917231440544128, 'test_f1\n': 0.5987542867660522}
[ 2025-12-19 11:30:55 | node_28 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 11:30:55 | node_23 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 11:30:55 | node_24 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:55 | node_16 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:55 | node_7 | ERROR ] Vote received in a late round. Ignored. 83 != 100 / 101
[ 2025-12-19 11:30:55 | node_6 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:56 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:56 | node_8 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:56 | node_18 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.22469496726989746, 'test_acc\n': 0.9538905024528503, 'test_precision\n': 0.6516430974006653, 'test_recall\n': 0.6197036504745483, 'test_f1\n': 0.6344774961471558}
[ 2025-12-19 11:30:56 | node_18 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 11:30:56 | node_10 | ERROR ] Vote received in a late round. Ignored. 83 != 100 / 101
[ 2025-12-19 11:30:56 | node_13 | ERROR ] Vote received in a late round. Ignored. 83 != 100 / 101
[ 2025-12-19 11:30:56 | node_11 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:56 | node_12 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:56 | node_8 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:56 | node_23 | ERROR ] Models ready from node_24 in a late round. Ignored. 92 != 100 / 99
[ 2025-12-19 11:30:56 | node_17 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:56 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:56 | node_26 | ERROR ] Models ready from node_24 in a late round. Ignored. 92 != 100 / 99
[ 2025-12-19 11:30:56 | node_29 | ERROR ] Vote received in a late round. Ignored. 83 != 100 / 101
[ 2025-12-19 11:30:56 | node_7 | ERROR ] Vote received in a late round. Ignored. 83 != 100 / 101
[ 2025-12-19 11:30:56 | node_21 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:56 | node_13 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.5732628107070923, 'test_acc\n': 0.9193548560142517, 'test_precision\n': 0.46729129552841187, 'test_recall\n': 0.4625531733036041, 'test_f1\n': 0.46012845635414124}
[ 2025-12-19 11:30:56 | node_8 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:56 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 11:30:56 | node_7 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.11952213943004608, 'test_acc\n': 0.9781249761581421, 'test_precision\n': 0.8437389135360718, 'test_recall\n': 0.8541995286941528, 'test_f1\n': 0.8474311828613281}
[ 2025-12-19 11:30:56 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 11:30:56 | node_26 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.2550412714481354, 'test_acc\n': 0.9567567706108093, 'test_precision\n': 0.6591494679450989, 'test_recall\n': 0.6561464667320251, 'test_f1\n': 0.6471303701400757}
[ 2025-12-19 11:30:56 | node_10 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:56 | node_29 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.4658653438091278, 'test_acc\n': 0.9552238583564758, 'test_precision\n': 0.6166676878929138, 'test_recall\n': 0.6331713199615479, 'test_f1\n': 0.6226486563682556}
[ 2025-12-19 11:30:56 | node_26 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 11:30:56 | node_29 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 11:30:57 | node_10 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:57 | node_13 | ERROR ] Vote received in a late round. Ignored. 83 != 100 / 101
[ 2025-12-19 11:30:57 | node_5 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:57 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:57 | node_9 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.2987675070762634, 'test_acc\n': 0.9469214677810669, 'test_precision\n': 0.45062515139579773, 'test_recall\n': 0.4635951519012451, 'test_f1\n': 0.45129531621932983}
[ 2025-12-19 11:30:57 | node_8 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:57 | node_17 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:57 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 11:30:57 | node_9 | ERROR ] Models ready from node_21 in a late round. Ignored. 87 != 100 / 99
[ 2025-12-19 11:30:57 | node_25 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6153791546821594, 'test_acc\n': 0.8936170339584351, 'test_precision\n': 0.5334959626197815, 'test_recall\n': 0.5248342156410217, 'test_f1\n': 0.5251723527908325}
[ 2025-12-19 11:30:57 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 11:30:57 | node_22 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:57 | node_28 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:57 | node_29 | ERROR ] Vote received in a late round. Ignored. 83 != 100 / 101
[ 2025-12-19 11:30:57 | node_2 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:57 | node_23 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:57 | node_27 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:57 | node_18 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:57 | node | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:57 | node_29 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:57 | node_1 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:57 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:57 | node_5 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:57 | node_21 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:57 | node_13 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:57 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_27 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_8 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_25 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:58 | node_26 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:58 | node_9 | ERROR ] Models ready from node_23 in a late round. Ignored. 87 != 100 / 99
[ 2025-12-19 11:30:58 | node_22 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_7 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:58 | node_9 | INFO ] 😋 Training finished!!
[ 2025-12-19 11:30:58 | node_2 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_8 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_15 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_17 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_19 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_21 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node | INFO ] InMemoryServer stopped at node
[ 2025-12-19 11:30:58 | node_27 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 11:30:58 | node_1 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_1 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_1 | INFO ] InMemoryServer stopped at node_1
[ 2025-12-19 11:30:58 | node_1 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:58 | node_2 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_2 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_2 | INFO ] InMemoryServer stopped at node_2
[ 2025-12-19 11:30:58 | node_5 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:58 | node_3 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:58 | node_3 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_3 | INFO ] InMemoryServer stopped at node_3
[ 2025-12-19 11:30:58 | node_8 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:58 | node_9 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:58 | node_4 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_4 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_4 | INFO ] InMemoryServer stopped at node_4
[ 2025-12-19 11:30:58 | node_22 | ERROR ] Vote received when learning is not running
[ 2025-12-19 11:30:58 | node_5 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_5 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_5 | INFO ] InMemoryServer stopped at node_5
[ 2025-12-19 11:30:58 | node_6 | INFO ] Stopping node...
[ 2025-12-19 11:30:58 | node_6 | INFO ] 🛑 Stopping gossiper...
[ 2025-12-19 11:30:58 | node_6 | INFO ] InMemoryServer stopped at node_6
[ 2025-12-19 11:30:58 | node_7 | INFO ] Stopping node...
