[ 2025-12-17 20:15:32 | node_22 | INFO ] 🧩 Model added (1/6) from ['node_21']
[ 2025-12-17 20:15:32 | node_22 | INFO ] 🔬 Evaluating...
[ 2025-12-17 20:15:32 | node_22 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.717765748500824, 'test_acc\n': 0.966966986656189, 'test_precision\n': 0.9713885188102722, 'test_recall\n': 0.9641849398612976, 'test_f1\n': 0.9654778242111206}
[ 2025-12-17 20:15:32 | node_22 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 20:15:32 | node_22 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 20:15:32 | node_3 | INFO ] Timeout for vote aggregation. Missing votes from {'node_1', 'node_12', 'node_17', 'node_23', 'node', 'node_5', 'node_14', 'node_11', 'node_9', 'node_8', 'node_7', 'node_6'}
[ 2025-12-17 20:15:32 | node_3 | INFO ] 🔢 Computed 17 votes.
[ 2025-12-17 20:15:32 | node_3 | INFO ] 🚂 Train set of 29 nodes: ['node_9', 'node_3', 'node_23', 'node_26', 'node_29', 'node_2', 'node_22', 'node_25', 'node_15', 'node_7', 'node_16', 'node_27', 'node_18', 'node_28', 'node_12', 'node_10', 'node_24', 'node_5', 'node_14', 'node_11', 'node_13', 'node_6', 'node_1', 'node_19', 'node_21', 'node', 'node_17', 'node_20', 'node_8']
[ 2025-12-17 20:15:32 | node_3 | INFO ] 🧩 Model added (1/8) from ['node_16']
[ 2025-12-17 20:15:32 | node_3 | INFO ] 🧩 Model added (2/8) from ['node_26']
[ 2025-12-17 20:15:32 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-17 20:15:32 | node_22 | INFO ] 🎓 Training done.
[ 2025-12-17 20:15:32 | node_22 | INFO ] 🧩 Model added (2/6) from ['node_22']
[ 2025-12-17 20:15:32 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.1379368156194687, 'test_acc\n': 0.985029935836792, 'test_precision\n': 0.9882394075393677, 'test_recall\n': 0.9876484274864197, 'test_f1\n': 0.9874445796012878}
[ 2025-12-17 20:15:32 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 20:15:33 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 20:15:33 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-17 20:15:33 | node_3 | INFO ] 🧩 Model added (3/8) from ['node_3']
[ 2025-12-17 20:15:34 | node_19 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_3', 'node_6', 'node_11', 'node_18', 'node_20', 'node_21']
[ 2025-12-17 20:15:34 | node_3 | INFO ] 🧩 Model added (4/8) from ['node_19']
[ 2025-12-17 20:15:34 | node_20 | INFO ] 🧩 Model added (4/6) from ['node_19']
[ 2025-12-17 20:15:34 | node_21 | INFO ] 🧩 Model added (3/6) from ['node_19']
[ 2025-12-17 20:15:35 | node_13 | INFO ] Timeout for vote aggregation. Missing votes from {'node_1', 'node_12', 'node_17', 'node_23', 'node_2', 'node_27', 'node_5', 'node_14', 'node', 'node_20', 'node_9', 'node_11', 'node_8', 'node_6', 'node_15'}
[ 2025-12-17 20:15:35 | node_13 | INFO ] 🔢 Computed 14 votes.
[ 2025-12-17 20:15:35 | node_13 | INFO ] 🚂 Train set of 29 nodes: ['node_23', 'node_3', 'node_29', 'node_2', 'node_9', 'node_26', 'node_25', 'node_27', 'node_22', 'node_16', 'node_7', 'node_12', 'node_18', 'node_10', 'node_28', 'node_14', 'node_15', 'node_5', 'node_24', 'node_19', 'node_13', 'node_1', 'node', 'node_11', 'node_17', 'node_8', 'node_21', 'node_6', 'node_20']
[ 2025-12-17 20:15:35 | node_13 | INFO ] 🔬 Evaluating...
[ 2025-12-17 20:15:35 | node_13 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6768985986709595, 'test_acc\n': 0.9789789915084839, 'test_precision\n': 0.9784307479858398, 'test_recall\n': 0.981621265411377, 'test_f1\n': 0.978581428527832}
[ 2025-12-17 20:15:35 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-17 20:15:35 | node_13 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-17 20:15:36 | node_13 | INFO ] 🎓 Training done.
[ 2025-12-17 20:15:36 | node_13 | INFO ] 🧩 Model added (1/5) from ['node_13']
[ 2025-12-17 20:15:37 | node_22 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_7', 'node_8', 'node_13', 'node_21', 'node_23']
[ 2025-12-17 20:15:37 | node_13 | INFO ] 🧩 Model added (2/5) from ['node_22']
[ 2025-12-17 20:15:37 | node_21 | INFO ] 🧩 Model added (4/6) from ['node_22']
[ 2025-12-17 20:15:38 | node_3 | INFO ] 📤 Sending model to 7 direct neighbors: ['node', 'node_2', 'node_16', 'node_17', 'node_18', 'node_19', 'node_26']
[ 2025-12-17 20:15:38 | node_16 | INFO ] 🧩 Model added (3/6) from ['node_3']
[ 2025-12-17 20:15:38 | node_19 | INFO ] 🧩 Model added (4/7) from ['node_3']
[ 2025-12-17 20:15:38 | node_26 | INFO ] 🧩 Model added (4/7) from ['node_3']
[ 2025-12-17 20:15:38 | node_7 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 20:15:38 | node_7 | INFO ] 🎉 Round 98 of 100 finished.
[ 2025-12-17 20:15:38 | node_7 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 20:15:38 | node_1 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:38 | node_5 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:38 | node_6 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:38 | node_8 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:38 | node_9 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:39 | node_23 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:39 | node_11 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
[ 2025-12-17 20:15:39 | node_17 | ERROR ] Vote received in a late round. Ignored. 98 != 99 / 100
