[ 2025-12-19 16:56:12 | node_9 | ERROR ] Models ready from node_28 in a late round. Ignored. 79 != 99 / 98
[ 2025-12-19 16:56:12 | node_26 | ERROR ] Models ready from node_28 in a late round. Ignored. 79 != 99 / 98
[ 2025-12-19 16:56:12 | node_16 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:12 | node_18 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:12 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:12 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:12 | node_9 | ERROR ] Vote received in a late round. Ignored. 79 != 99 / 100
[ 2025-12-19 16:56:12 | node_26 | ERROR ] Vote received in a late round. Ignored. 79 != 99 / 100
[ 2025-12-19 16:56:12 | node_28 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:12 | node_16 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:12 | node_18 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:12 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:12 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:12 | node_9 | ERROR ] Vote received in a late round. Ignored. 79 != 99 / 100
[ 2025-12-19 16:56:12 | node_26 | ERROR ] Vote received in a late round. Ignored. 79 != 99 / 100
[ 2025-12-19 16:56:12 | node_28 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:13 | node_18 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_9 | ERROR ] Models ready from node_16 in a late round. Ignored. 79 != 99 / 98
[ 2025-12-19 16:56:13 | node_26 | ERROR ] Models ready from node_16 in a late round. Ignored. 79 != 99 / 98
[ 2025-12-19 16:56:13 | node_28 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_16 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_3 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_6 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_9 | ERROR ] Models ready from node_18 in a late round. Ignored. 79 != 99 / 98
[ 2025-12-19 16:56:13 | node_26 | ERROR ] Models ready from node_18 in a late round. Ignored. 79 != 99 / 98
[ 2025-12-19 16:56:13 | node_28 | WARNING ] Models ready received when learning is not running
[ 2025-12-19 16:56:13 | node_16 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:13 | node_18 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:13 | node_3 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:13 | node_6 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:13 | node_26 | ERROR ] Vote received in a late round. Ignored. 80 != 99 / 100
[ 2025-12-19 16:56:13 | node_28 | ERROR ] Vote received when learning is not running
[ 2025-12-19 16:56:13 | node_16 | ERROR ] Vote received when learning is not running
