[ 2025-12-14 19:01:39 | node_49 | INFO ] 🧩 Model added (2/5) from ['node_49']
[ 2025-12-14 19:01:39 | node_14 | INFO ] 🎓 Training done.
[ 2025-12-14 19:01:39 | node_14 | INFO ] 🧩 Model added (4/5) from ['node_14']
[ 2025-12-14 19:01:39 | node_28 | INFO ] 🧩 Model added (2/5) from ['node_2']
[ 2025-12-14 19:01:39 | node_28 | INFO ] 🧩 Model added (3/5) from ['node_17']
[ 2025-12-14 19:01:39 | node_2 | INFO ] 🧩 Model added (4/5) from ['node_49']
[ 2025-12-14 19:01:39 | node_2 | INFO ] 🧩 Model added (5/5) from ['node_14']
[ 2025-12-14 19:01:39 | node_49 | INFO ] 🧩 Model added (3/5) from ['node_2']
[ 2025-12-14 19:01:39 | node_14 | INFO ] 🧩 Model added (5/5) from ['node_49']
[ 2025-12-14 19:01:39 | node_49 | INFO ] 🧩 Model added (4/5) from ['node_17']
[ 2025-12-14 19:01:39 | node_17 | INFO ] 🧩 Model added (4/5) from ['node_14']
[ 2025-12-14 19:01:39 | node_17 | INFO ] 🧩 Model added (5/5) from ['node_49']
[ 2025-12-14 19:01:39 | node_28 | INFO ] 🧩 Model added (4/5) from ['node_14']
[ 2025-12-14 19:01:39 | node_28 | INFO ] 🧩 Model added (5/5) from ['node_49']
[ 2025-12-14 19:01:39 | node_49 | INFO ] 🧩 Model added (5/5) from ['node_14']
[ 2025-12-14 19:01:40 | node_28 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:40 | node_28 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 19:01:41 | node_28 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 19:01:41 | node_49 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:41 | node_14 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:41 | node_49 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 19:01:41 | node_14 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 19:01:41 | node_17 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:41 | node_17 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 19:01:41 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:41 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 19:01:41 | node_49 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 19:01:41 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 19:01:41 | node_17 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 19:01:41 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 19:01:41 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:41 | node_2 | INFO ] 🎉 Round 86 of 100 finished.
[ 2025-12-14 19:01:41 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 19:01:42 | node_28 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:42 | node_28 | INFO ] 🎉 Round 86 of 100 finished.
[ 2025-12-14 19:01:42 | node_28 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 19:01:42 | node_17 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:42 | node_14 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:42 | node_49 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 19:01:42 | node_17 | INFO ] 🎉 Round 86 of 100 finished.
[ 2025-12-14 19:01:42 | node_49 | INFO ] 🎉 Round 86 of 100 finished.
[ 2025-12-14 19:01:42 | node_14 | INFO ] 🎉 Round 86 of 100 finished.
[ 2025-12-14 19:01:42 | node_17 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 19:01:42 | node_49 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 19:01:42 | node_14 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 19:01:42 | node_2 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-14 19:01:42 | node_2 | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_49', 'node_14', 'node_17', 'node_28']
[ 2025-12-14 19:01:42 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-14 19:01:42 | node_28 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-14 19:01:42 | node_17 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-14 19:01:42 | node_28 | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_49', 'node_14', 'node_17', 'node_28']
[ 2025-12-14 19:01:42 | node_14 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-14 19:01:42 | node_17 | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_49', 'node_14', 'node_17', 'node_28']
[ 2025-12-14 19:01:42 | node_49 | INFO ] 🔢 Computed 5 votes.
[ 2025-12-14 19:01:42 | node_14 | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_49', 'node_14', 'node_17', 'node_28']
[ 2025-12-14 19:01:42 | node_28 | INFO ] 🔬 Evaluating...
[ 2025-12-14 19:01:42 | node_49 | INFO ] 🚂 Train set of 5 nodes: ['node_2', 'node_49', 'node_14', 'node_17', 'node_28']
[ 2025-12-14 19:01:42 | node_17 | INFO ] 🔬 Evaluating...
[ 2025-12-14 19:01:42 | node_14 | INFO ] 🔬 Evaluating...
[ 2025-12-14 19:01:42 | node_49 | INFO ] 🔬 Evaluating...
[ 2025-12-14 19:01:43 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 36.15702819824219, 'test_acc\n': 0.7149999737739563, 'test_precision\n': 0.7308576107025146, 'test_recall\n': 0.7079849243164062, 'test_f1\n': 0.6542050838470459}
[ 2025-12-14 19:01:43 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 19:01:43 | node_28 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 16.368844985961914, 'test_acc\n': 0.7749999761581421, 'test_precision\n': 0.8390318155288696, 'test_recall\n': 0.7610281109809875, 'test_f1\n': 0.7324551343917847}
[ 2025-12-14 19:01:43 | node_17 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 37.05183792114258, 'test_acc\n': 0.699999988079071, 'test_precision\n': 0.7260306477546692, 'test_recall\n': 0.7052731513977051, 'test_f1\n': 0.6444114446640015}
[ 2025-12-14 19:01:43 | node_28 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 19:01:43 | node_17 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 19:01:43 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 19:01:43 | node_28 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 19:01:43 | node_17 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 19:01:43 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-14 19:01:43 | node_2 | INFO ] 🧩 Model added (1/5) from ['node_2']
[ 2025-12-14 19:01:43 | node_14 | INFO ] 🧩 Model added (1/5) from ['node_2']
