[ 2025-12-16 16:48:44 | node_49 | INFO ] 🧩 Model added (8/8) from ['node_46']
[ 2025-12-16 16:48:44 | node_49 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:48:46 | node | INFO ] 🧩 Model added (8/9) from ['node_47']
[ 2025-12-16 16:48:46 | node | INFO ] 🧩 Model added (9/9) from ['node_46']
[ 2025-12-16 16:48:46 | node | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:48:48 | node_46 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:48:49 | node_1 | INFO ] 🧩 Model added (9/9) from ['node_47']
[ 2025-12-16 16:48:49 | node_1 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:48:51 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:48:52 | node_47 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:48:54 | node_49 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:48:55 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:48:57 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:48:58 | node_47 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:48:58 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:48:58 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 16:48:59 | node_46 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 16:48:59 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-16 16:48:59 | node_47 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 16:48:59 | node_49 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 16:48:59 | node_46 | INFO ] 🎉 Round 93 of 100 finished.
[ 2025-12-16 16:48:59 | node_46 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:48:59 | node_47 | INFO ] 🎉 Round 93 of 100 finished.
[ 2025-12-16 16:48:59 | node_1 | INFO ] 🎉 Round 93 of 100 finished.
[ 2025-12-16 16:48:59 | node_47 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:48:59 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:49:00 | node | INFO ] 🎉 Round 93 of 100 finished.
[ 2025-12-16 16:49:00 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:49:00 | node_49 | INFO ] 🎉 Round 93 of 100 finished.
[ 2025-12-16 16:49:00 | node_49 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:49:32 | node_6 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 16:49:32 | node_6 | INFO ] 🚂 Train set of 11 nodes: ['node', 'node_49', 'node_46', 'node_6', 'node_4', 'node_1', 'node_3', 'node_5', 'node_47', 'node_2', 'node_48']
[ 2025-12-16 16:49:32 | node_6 | INFO ] 🧩 Model added (1/5) from ['node_2']
[ 2025-12-16 16:49:32 | node_6 | INFO ] 🧩 Model added (2/5) from ['node_5']
[ 2025-12-16 16:49:32 | node_6 | INFO ] 🧩 Model added (3/5) from ['node_4']
[ 2025-12-16 16:49:32 | node_6 | INFO ] 🧩 Model added (4/5) from ['node_3']
[ 2025-12-16 16:49:32 | node_6 | INFO ] 🔬 Evaluating...
[ 2025-12-16 16:49:33 | node_6 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.4571308195590973, 'test_acc\n': 0.9649999737739563, 'test_precision\n': 0.9561969041824341, 'test_recall\n': 0.9707216620445251, 'test_f1\n': 0.9605135917663574}
[ 2025-12-16 16:49:33 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 16:49:33 | node_6 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 16:49:33 | node_6 | INFO ] 🎓 Training done.
[ 2025-12-16 16:49:33 | node_6 | INFO ] 🧩 Model added (5/5) from ['node_6']
[ 2025-12-16 16:49:38 | node_6 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_2', 'node_3', 'node_4', 'node_5']
[ 2025-12-16 16:49:38 | node_2 | INFO ] 🧩 Model added (9/9) from ['node_6']
[ 2025-12-16 16:49:38 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:49:40 | node_3 | INFO ] 🧩 Model added (8/8) from ['node_6']
[ 2025-12-16 16:49:40 | node_3 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:49:41 | node_4 | INFO ] 🧩 Model added (7/7) from ['node_6']
[ 2025-12-16 16:49:41 | node_4 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:49:43 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:49:43 | node_5 | INFO ] 🧩 Model added (6/6) from ['node_6']
[ 2025-12-16 16:49:43 | node_5 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:49:44 | node_48 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 16:49:44 | node_6 | INFO ] 🧠 Aggregating models.
[ 2025-12-16 16:49:46 | node_48 | INFO ] 🎉 Round 93 of 100 finished.
[ 2025-12-16 16:49:46 | node_48 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:49:47 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:49:47 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:49:47 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:49:47 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 16:49:47 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 16:49:47 | node_6 | INFO ] 🤫 Gossip finished.
[ 2025-12-16 16:49:48 | node_6 | INFO ] 🎉 Round 93 of 100 finished.
[ 2025-12-16 16:49:48 | node_6 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 16:49:48 | node_2 | INFO ] 🎉 Round 93 of 100 finished.
