[ 2025-12-17 01:11:43 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 01:11:43 | node_3 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:43 | node_4 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:43 | node_46 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:43 | node_47 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:43 | node_47 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:43 | node_48 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:43 | node_49 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:44 | node_46 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:44 | node_46 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:44 | node_5 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:44 | node_6 | ERROR ] Vote received in a late round. Ignored. 75 != 73 / 74
[ 2025-12-17 01:11:52 | node_46 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 01:11:52 | node_46 | INFO ] 🎉 Round 74 of 100 finished.
[ 2025-12-17 01:11:52 | node_46 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 01:11:52 | node | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:11:53 | node_1 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:11:53 | node_2 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:00 | node_6 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 01:12:00 | node_6 | INFO ] 🎉 Round 74 of 100 finished.
[ 2025-12-17 01:12:00 | node_6 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 01:12:00 | node_2 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:01 | node | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:01 | node_1 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:05 | node_47 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2025-12-17 01:12:05 | node_47 | INFO ] 🎉 Round 74 of 100 finished.
[ 2025-12-17 01:12:05 | node_47 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-17 01:12:05 | node | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:05 | node_1 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:06 | node_2 | ERROR ] Vote received in a late round. Ignored. 74 != 75 / 76
[ 2025-12-17 01:12:13 | node_1 | INFO ] Timeout for vote aggregation. Missing votes from {'node_5', 'node_48', 'node_3', 'node_4', 'node_49', 'node_47', 'node_6', 'node_46'}
[ 2025-12-17 01:12:13 | node_1 | INFO ] 🔢 Computed 3 votes.
[ 2025-12-17 01:12:13 | node_2 | INFO ] Timeout for vote aggregation. Missing votes from {'node_5', 'node_48', 'node_3', 'node_4', 'node_49', 'node_47', 'node_6', 'node_46'}
[ 2025-12-17 01:12:13 | node_1 | INFO ] 🚂 Train set of 11 nodes: ['node_47', 'node_3', 'node_1', 'node_6', 'node', 'node_5', 'node_4', 'node_46', 'node_2', 'node_49', 'node_48']
[ 2025-12-17 01:12:13 | node_2 | INFO ] 🔢 Computed 3 votes.
[ 2025-12-17 01:12:13 | node_2 | INFO ] 🚂 Train set of 11 nodes: ['node_47', 'node_3', 'node_1', 'node_6', 'node', 'node_5', 'node_4', 'node_46', 'node_2', 'node_49', 'node_48']
[ 2025-12-17 01:12:13 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-17 01:12:13 | node_2 | INFO ] 🔬 Evaluating...
