[ 2025-12-15 16:08:23 | node_4 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:23 | node_4 | INFO ] 🚂 Train set of 11 nodes: ['node_3', 'node', 'node_1', 'node_46', 'node_6', 'node_2', 'node_47', 'node_5', 'node_48', 'node_49', 'node_4']
[ 2025-12-15 16:08:23 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:23 | node_5 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:23 | node_5 | INFO ] 🚂 Train set of 11 nodes: ['node_3', 'node', 'node_1', 'node_46', 'node_6', 'node_2', 'node_47', 'node_5', 'node_48', 'node_49', 'node_4']
[ 2025-12-15 16:08:23 | node_5 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:23 | node_6 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:23 | node_6 | INFO ] 🚂 Train set of 11 nodes: ['node_3', 'node', 'node_1', 'node_46', 'node_6', 'node_2', 'node_47', 'node_5', 'node_48', 'node_49', 'node_4']
[ 2025-12-15 16:08:23 | node_6 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:23 | node_49 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:23 | node_49 | INFO ] 🚂 Train set of 11 nodes: ['node_3', 'node', 'node_1', 'node_46', 'node_6', 'node_2', 'node_47', 'node_5', 'node_48', 'node_49', 'node_4']
[ 2025-12-15 16:08:23 | node_49 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:24 | node_48 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:24 | node_48 | INFO ] 🚂 Train set of 11 nodes: ['node_3', 'node', 'node_1', 'node_46', 'node_6', 'node_2', 'node_47', 'node_5', 'node_48', 'node_49', 'node_4']
[ 2025-12-15 16:08:24 | node_48 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:24 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.28475821018218994, 'test_acc\n': 0.9649999737739563, 'test_precision\n': 0.960328996181488, 'test_recall\n': 0.9650493860244751, 'test_f1\n': 0.9594706892967224}
[ 2025-12-15 16:08:24 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:24 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7397332787513733, 'test_acc\n': 0.9649999737739563, 'test_precision\n': 0.9663943648338318, 'test_recall\n': 0.9679195880889893, 'test_f1\n': 0.9644834399223328}
[ 2025-12-15 16:08:24 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:24 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7092648148536682, 'test_acc\n': 0.949999988079071, 'test_precision\n': 0.9475885033607483, 'test_recall\n': 0.9474543929100037, 'test_f1\n': 0.9445865750312805}
[ 2025-12-15 16:08:24 | node_3 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.3368072509765625, 'test_acc\n': 0.9800000190734863, 'test_precision\n': 0.9773785471916199, 'test_recall\n': 0.9863911271095276, 'test_f1\n': 0.9806478023529053}
[ 2025-12-15 16:08:24 | node | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:24 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:25 | node_47 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-15 16:08:25 | node_47 | INFO ] 🚂 Train set of 11 nodes: ['node_3', 'node', 'node_1', 'node_46', 'node_6', 'node_2', 'node_47', 'node_5', 'node_48', 'node_49', 'node_4']
[ 2025-12-15 16:08:25 | node_47 | INFO ] 🔬 Evaluating...
[ 2025-12-15 16:08:25 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:25 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:25 | node_3 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:25 | node | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:25 | node_5 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.4123291075229645, 'test_acc\n': 0.9800000190734863, 'test_precision\n': 0.9839213490486145, 'test_recall\n': 0.9793418645858765, 'test_f1\n': 0.9804050326347351}
[ 2025-12-15 16:08:25 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-15 16:08:25 | node_5 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-15 16:08:25 | node_49 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.408353716135025, 'test_acc\n': 0.9750000238418579, 'test_precision\n': 0.978019118309021, 'test_recall\n': 0.9764063358306885, 'test_f1\n': 0.9760949611663818}
