[ 2025-12-16 06:49:18 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6273964047431946, 'test_acc\n': 0.9599999785423279, 'test_precision\n': 0.9656886458396912, 'test_recall\n': 0.959000825881958, 'test_f1\n': 0.9603100419044495}
[ 2025-12-16 06:49:18 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:19 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:19 | node | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:19 | node | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_46', 'node_47', 'node_3', 'node_5', 'node', 'node_48', 'node_2', 'node_4', 'node_49', 'node_6']
[ 2025-12-16 06:49:19 | node | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:19 | node_2 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:19 | node_2 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_46', 'node_47', 'node_3', 'node_5', 'node', 'node_48', 'node_2', 'node_4', 'node_49', 'node_6']
[ 2025-12-16 06:49:19 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:19 | node_1 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:19 | node_1 | INFO ] 🧩 Model added (1/3) from ['node_1']
[ 2025-12-16 06:49:19 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.2989891469478607, 'test_acc\n': 0.9700000286102295, 'test_precision\n': 0.9694464802742004, 'test_recall\n': 0.9670768976211548, 'test_f1\n': 0.9665301442146301}
[ 2025-12-16 06:49:19 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6800348162651062, 'test_acc\n': 0.9599999785423279, 'test_precision\n': 0.9550427198410034, 'test_recall\n': 0.9626666307449341, 'test_f1\n': 0.9554890394210815}
[ 2025-12-16 06:49:19 | node | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:19 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 06:49:19 | node | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:19 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 06:49:19 | node_3 | INFO ] 🔢 Computed 11 votes.
[ 2025-12-16 06:49:19 | node_3 | INFO ] 🚂 Train set of 11 nodes: ['node_1', 'node_46', 'node_47', 'node_3', 'node_5', 'node', 'node_48', 'node_2', 'node_4', 'node_49', 'node_6']
[ 2025-12-16 06:49:19 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-16 06:49:19 | node | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:19 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-16 06:49:19 | node | INFO ] 🧩 Model added (1/3) from ['node']
[ 2025-12-16 06:49:19 | node_2 | INFO ] 🧩 Model added (1/3) from ['node_2']
[ 2025-12-16 06:49:19 | node_49 | INFO ] 🔢 Computed 11 votes.
