[ 2025-12-14 06:42:40 | node_22 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:40 | node_22 | INFO ] 🧩 Model added (1/1) from ['node_22']
[ 2025-12-14 06:42:40 | node_22 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:40 | node_22 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:40 | node_5 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 160.81369018554688, 'test_acc\n': 0.6650000214576721, 'test_precision\n': 0.692135751247406, 'test_recall\n': 0.6329206228256226, 'test_f1\n': 0.6085244417190552}
[ 2025-12-14 06:42:41 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:41 | node_5 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:41 | node_43 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:41 | node_43 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:41 | node_43 | INFO ] 🎉 Round 77 of 100 finished.
[ 2025-12-14 06:42:41 | node_22 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🎓 Training done.
[ 2025-12-14 06:42:41 | node_43 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:41 | node_22 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🧩 Model added (1/1) from ['node_14']
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 06:42:41 | node_43 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:41 | node_22 | INFO ] 🎉 Round 77 of 100 finished.
[ 2025-12-14 06:42:41 | node_43 | INFO ] 🚂 Train set of 1 nodes: ['node_43']
[ 2025-12-14 06:42:41 | node_43 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:41 | node_22 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:41 | node_22 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:41 | node_22 | INFO ] 🚂 Train set of 1 nodes: ['node_22']
[ 2025-12-14 06:42:41 | node_22 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🎉 Round 77 of 100 finished.
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🚂 Train set of 1 nodes: ['node_14']
[ 2025-12-14 06:42:41 | node_14 | INFO ] 🔬 Evaluating...
[ 2025-12-14 06:42:41 | node_35 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 46.610469818115234, 'test_acc\n': 0.8149999976158142, 'test_precision\n': 0.8706122040748596, 'test_recall\n': 0.816819429397583, 'test_f1\n': 0.7914470434188843}
[ 2025-12-14 06:42:41 | node_35 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:41 | node_35 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:41 | node_17 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 59.73752975463867, 'test_acc\n': 0.7250000238418579, 'test_precision\n': 0.721386730670929, 'test_recall\n': 0.7391858100891113, 'test_f1\n': 0.687232494354248}
[ 2025-12-14 06:42:41 | node_17 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 06:42:41 | node_17 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 06:42:41 | node_9 | INFO ] 🎓 Training done.
