[ 2025-12-16 01:12:45 | node_47 | INFO ] 🧩 Model added (3/12) from ['node_48']
[ 2025-12-16 01:12:47 | node_48 | INFO ] 🧩 Model added (3/11) from ['node_46']
[ 2025-12-16 01:12:50 | node_43 | INFO ] Timeout for vote aggregation. Missing votes from {'node_44'}
[ 2025-12-16 01:12:50 | node_45 | INFO ] Timeout for vote aggregation. Missing votes from {'node_44'}
[ 2025-12-16 01:12:50 | node_43 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-16 01:12:50 | node_45 | INFO ] 🔢 Computed 8 votes.
[ 2025-12-16 01:12:50 | node_43 | INFO ] 🚂 Train set of 10 nodes: ['node_40', 'node_42', 'node_43', 'node_46', 'node_41', 'node_45', 'node_44', 'node_47', 'node_39', 'node_36']
[ 2025-12-16 01:12:50 | node_45 | INFO ] 🚂 Train set of 12 nodes: ['node_48', 'node_46', 'node_40', 'node_43', 'node_44', 'node_49', 'node_45', 'node_47', 'node_41', 'node_42', 'node_2', 'node_37']
[ 2025-12-16 01:12:50 | node_43 | INFO ] 🧩 Model added (1/10) from ['node_41']
[ 2025-12-16 01:12:50 | node_45 | INFO ] 🧩 Model added (1/12) from ['node_41']
[ 2025-12-16 01:12:50 | node_45 | INFO ] 🧩 Model added (2/12) from ['node_47']
[ 2025-12-16 01:12:51 | node_45 | INFO ] 🔬 Evaluating...
[ 2025-12-16 01:12:51 | node_43 | INFO ] 🧩 Model added (2/10) from ['node_47']
[ 2025-12-16 01:12:51 | node_43 | INFO ] 🔬 Evaluating...
[ 2025-12-16 01:12:51 | node_43 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.05723951384425163, 'test_metric': 0.9800000190734863}
[ 2025-12-16 01:12:51 | node_43 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 01:12:51 | node_45 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.08713063597679138, 'test_metric': 0.9700000286102295}
[ 2025-12-16 01:12:51 | node_45 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-16 01:12:51 | node_43 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 01:12:51 | node_45 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-16 01:12:51 | node_45 | INFO ] 🎓 Training done.
[ 2025-12-16 01:12:51 | node_45 | INFO ] 🧩 Model added (3/12) from ['node_45']
[ 2025-12-16 01:12:51 | node_43 | INFO ] 🎓 Training done.
[ 2025-12-16 01:12:51 | node_43 | INFO ] 🧩 Model added (3/10) from ['node_43']
[ 2025-12-16 01:12:51 | node_43 | INFO ] 🧩 Model added (4/10) from ['node_45']
[ 2025-12-16 01:12:51 | node_45 | INFO ] 🧩 Model added (4/12) from ['node_43']
[ 2025-12-16 01:12:51 | node_47 | INFO ] 🧩 Model added (6/12) from ['node_41', 'node_43', 'node_45']
[ 2025-12-16 01:12:52 | node_45 | INFO ] 🧩 Model added (6/12) from ['node_48', 'node_46']
[ 2025-12-16 01:12:54 | node_43 | INFO ] 🧩 Model added (5/10) from ['node_42']
[ 2025-12-16 01:12:54 | node_45 | INFO ] 🧩 Model added (7/12) from ['node_42']
[ 2025-12-16 01:12:56 | node_15 | INFO ] ⏳ Aggregation wait timed out. Missing models: {'node_18', 'node_17', 'node_13', 'node_7'}
[ 2025-12-16 01:12:56 | node_17 | ERROR ] Models ready from node_15 in a late round. Ignored. 27 != 26 / 25
[ 2025-12-16 01:12:56 | node_18 | ERROR ] Models ready from node_15 in a late round. Ignored. 27 != 26 / 25
[ 2025-12-16 01:12:56 | node_15 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-16 01:13:01 | node_38 | INFO ] ⏹️  Gossiping exited for 20 equal rounds.
[ 2025-12-16 01:13:13 | node_14 | INFO ] ⏹️  Gossiping exited for 20 equal rounds.
[ 2025-12-16 01:13:13 | node_14 | INFO ] 🎉 Round 28 of 100 finished.
[ 2025-12-16 01:13:13 | node_14 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-16 01:13:13 | node_17 | ERROR ] Vote received in a late round. Ignored. 28 != 26 / 27
[ 2025-12-16 01:13:13 | node_18 | ERROR ] Vote received in a late round. Ignored. 28 != 26 / 27
[ 2025-12-16 01:13:15 | node_35 | INFO ] Timeout for vote aggregation. Missing votes from {'node_37', 'node_36', 'node_39', 'node_38'}
[ 2025-12-16 01:13:15 | node_35 | INFO ] 🔢 Computed 5 votes.
