[ 2025-12-14 14:34:20 | node_23 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:20 | node_23 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🧩 Model added (1/1) from ['node_35']
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:20 | node_6 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 67.8582763671875, 'test_acc\n': 0.8799999952316284, 'test_precision\n': 0.9006779193878174, 'test_recall\n': 0.876319169998169, 'test_f1\n': 0.8751980662345886}
[ 2025-12-14 14:34:20 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:20 | node_6 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🚂 Train set of 1 nodes: ['node_35']
[ 2025-12-14 14:34:20 | node_35 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:20 | node_32 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 218.4980926513672, 'test_acc\n': 0.7250000238418579, 'test_precision\n': 0.8292224407196045, 'test_recall\n': 0.7037737369537354, 'test_f1\n': 0.6975303888320923}
[ 2025-12-14 14:34:20 | node_32 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:20 | node_32 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:20 | node_24 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 228.62686157226562, 'test_acc\n': 0.7200000286102295, 'test_precision\n': 0.8983020782470703, 'test_recall\n': 0.7262831330299377, 'test_f1\n': 0.7385896444320679}
[ 2025-12-14 14:34:20 | node_24 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:20 | node_24 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:20 | node_37 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 222.4921417236328, 'test_acc\n': 0.75, 'test_precision\n': 0.7284393310546875, 'test_recall\n': 0.754498302936554, 'test_f1\n': 0.7118434906005859}
[ 2025-12-14 14:34:20 | node_37 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:20 | node_37 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🧩 Model added (1/1) from ['node_15']
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:20 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 142.6288299560547, 'test_acc\n': 0.8650000095367432, 'test_precision\n': 0.8950878381729126, 'test_recall\n': 0.8527789115905762, 'test_f1\n': 0.8454221487045288}
[ 2025-12-14 14:34:20 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:20 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🚂 Train set of 1 nodes: ['node_15']
[ 2025-12-14 14:34:20 | node_15 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🧩 Model added (1/1) from ['node_29']
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:21 | node_10 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 439.38531494140625, 'test_acc\n': 0.7099999785423279, 'test_precision\n': 0.6639969348907471, 'test_recall\n': 0.6986226439476013, 'test_f1\n': 0.6524761915206909}
[ 2025-12-14 14:34:21 | node_10 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:21 | node_10 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:21 | node_9 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 233.7910919189453, 'test_acc\n': 0.7599999904632568, 'test_precision\n': 0.8148419857025146, 'test_recall\n': 0.7766391038894653, 'test_f1\n': 0.7463486194610596}
[ 2025-12-14 14:34:21 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:21 | node_9 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🚂 Train set of 1 nodes: ['node_29']
[ 2025-12-14 14:34:21 | node_29 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🧩 Model added (1/1) from ['node_26']
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🚂 Train set of 1 nodes: ['node_26']
[ 2025-12-14 14:34:21 | node_26 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:21 | node_17 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:21 | node_17 | INFO ] 🧩 Model added (1/1) from ['node_17']
[ 2025-12-14 14:34:21 | node_17 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:21 | node_17 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🧩 Model added (1/1) from ['node_36']
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🧩 Model added (1/1) from ['node_22']
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:22 | node_17 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:22 | node_17 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_17 | INFO ] 🎉 Round 184 of 200 finished.
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:22 | node_17 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_17 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:22 | node_17 | INFO ] 🚂 Train set of 1 nodes: ['node_17']
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🎉 Round 185 of 200 finished.
[ 2025-12-14 14:34:22 | node_17 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:22 | node_31 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 163.18801879882812, 'test_acc\n': 0.7900000214576721, 'test_precision\n': 0.8230299353599548, 'test_recall\n': 0.7582240104675293, 'test_f1\n': 0.7439631819725037}
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:22 | node_31 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🎉 Round 183 of 200 finished.
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🚂 Train set of 1 nodes: ['node_22']
[ 2025-12-14 14:34:22 | node_31 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:22 | node_22 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🚂 Train set of 1 nodes: ['node_36']
[ 2025-12-14 14:34:22 | node_36 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🧩 Model added (1/1) from ['node_11']
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_41 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 35.172794342041016, 'test_acc\n': 0.8899999856948853, 'test_precision\n': 0.8861895799636841, 'test_recall\n': 0.8892473578453064, 'test_f1\n': 0.8831057548522949}
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🧠 Aggregating models.
[ 2025-12-14 14:34:22 | node_41 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:22 | node_41 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:22 | node_14 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 288.70074462890625, 'test_acc\n': 0.75, 'test_precision\n': 0.8398544192314148, 'test_recall\n': 0.7345585823059082, 'test_f1\n': 0.7356103658676147}
[ 2025-12-14 14:34:22 | node_28 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 102.33055877685547, 'test_acc\n': 0.8349999785423279, 'test_precision\n': 0.8737733364105225, 'test_recall\n': 0.8251124024391174, 'test_f1\n': 0.8228399753570557}
[ 2025-12-14 14:34:22 | node_14 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:22 | node_28 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-14 14:34:22 | node_14 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:22 | node_28 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🤫 Gossip finished.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🎉 Round 185 of 200 finished.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🔢 Computed 1 votes.
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🚂 Train set of 1 nodes: ['node_11']
[ 2025-12-14 14:34:22 | node_11 | INFO ] 🔬 Evaluating...
[ 2025-12-14 14:34:22 | node_16 | INFO ] 🎓 Training done.
[ 2025-12-14 14:34:22 | node_16 | INFO ] 🧩 Model added (1/1) from ['node_16']
[ 2025-12-14 14:34:22 | node_16 | INFO ] 🤫 Gossip finished.
