[ 2025-12-14 08:18:22 | ActorPool | INFO ] Ray detected 1.0 GPU(s), allocating 0.25 GPU per actor
[ 2025-12-14 08:18:22 | ActorPool | INFO ] Initialized with 4 actors, 0.25 GPU per actor
[ 2025-12-14 08:18:22 | node | INFO ] InMemoryServer started at node
[ 2025-12-14 08:18:22 | node | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_1 | INFO ] InMemoryServer started at node_1
[ 2025-12-14 08:18:22 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_2 | INFO ] InMemoryServer started at node_2
[ 2025-12-14 08:18:22 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_3 | INFO ] InMemoryServer started at node_3
[ 2025-12-14 08:18:22 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_4 | INFO ] InMemoryServer started at node_4
[ 2025-12-14 08:18:22 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_5 | INFO ] InMemoryServer started at node_5
[ 2025-12-14 08:18:22 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_6 | INFO ] InMemoryServer started at node_6
[ 2025-12-14 08:18:22 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_7 | INFO ] InMemoryServer started at node_7
[ 2025-12-14 08:18:22 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_8 | INFO ] InMemoryServer started at node_8
[ 2025-12-14 08:18:22 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_9 | INFO ] InMemoryServer started at node_9
[ 2025-12-14 08:18:22 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_10 | INFO ] InMemoryServer started at node_10
[ 2025-12-14 08:18:22 | node_10 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_11 | INFO ] InMemoryServer started at node_11
[ 2025-12-14 08:18:22 | node_11 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_12 | INFO ] InMemoryServer started at node_12
[ 2025-12-14 08:18:22 | node_12 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_13 | INFO ] InMemoryServer started at node_13
[ 2025-12-14 08:18:22 | node_13 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_14 | INFO ] InMemoryServer started at node_14
[ 2025-12-14 08:18:22 | node_14 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_15 | INFO ] InMemoryServer started at node_15
[ 2025-12-14 08:18:22 | node_15 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_16 | INFO ] InMemoryServer started at node_16
[ 2025-12-14 08:18:22 | node_16 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_17 | INFO ] InMemoryServer started at node_17
[ 2025-12-14 08:18:22 | node_17 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_18 | INFO ] InMemoryServer started at node_18
[ 2025-12-14 08:18:22 | node_18 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 | node_19 | INFO ] InMemoryServer started at node_19
[ 2025-12-14 08:18:22 | node_19 | INFO ] 🏁 Starting gossiper...
[ 2025-12-14 08:18:22 |  | INFO ] Connected nodes node and node_1
[ 2025-12-14 08:18:22 |  | INFO ] Connected nodes node and node_19
[ 2025-12-14 08:18:22 |  | INFO ] Connected nodes node_1 and node_2
[ 2025-12-14 08:18:22 |  | INFO ] Connected nodes node_2 and node_3
[ 2025-12-14 08:18:22 |  | INFO ] Connected nodes node_3 and node_4
[ 2025-12-14 08:18:22 |  | INFO ] Connected nodes node_4 and node_5
[ 2025-12-14 08:18:22 |  | INFO ] Connected nodes node_5 and node_6
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_6 and node_7
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_7 and node_8
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_8 and node_9
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_9 and node_10
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_10 and node_11
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_11 and node_12
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_12 and node_13
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_13 and node_14
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_14 and node_15
[ 2025-12-14 08:18:23 |  | INFO ] Connected nodes node_15 and node_16
[ 2025-12-14 08:18:24 |  | INFO ] Connected nodes node_16 and node_17
[ 2025-12-14 08:18:24 |  | INFO ] Connected nodes node_17 and node_18
[ 2025-12-14 08:18:24 |  | INFO ] Connected nodes node_18 and node_19
[ 2025-12-14 08:18:37 | node | INFO ] 🚀 Broadcasting start learning...
[ 2025-12-14 08:18:37 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:37 | node_19 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:37 | node | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:37 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2025-12-14 08:18:38 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:38 | node_3 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:39 | node_18 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:39 | node_17 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:40 | node_4 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:41 | node_16 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:41 | node_5 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:43 | node_15 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:43 | node_6 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:43 | node_7 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:45 | node_14 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:45 | node_8 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:47 | node_13 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:47 | node_9 | INFO ] ⏳ Waiting initialization.
[ 2025-12-14 08:18:47 | node_12 | INFO ] ⏳ Waiting initialization.
